,date,rides,max_temp,precip,snow
0,2016-01-01,286750,42,0.0,0.0
1,2016-01-02,241760,40,0.0,0.0
2,2016-01-03,231116,45,0.0,0.0
3,2016-01-04,259891,36,0.0,0.0
4,2016-01-05,278457,29,0.0,0.0
5,2016-01-06,267690,41,0.0,0.0
6,2016-01-07,272341,46,0.0,0.0
7,2016-01-08,298670,46,0.0,0.0
8,2016-01-09,291508,47,0.01,0.0
9,2016-01-10,277687,59,1.8,0.0
10,2016-01-11,269529,40,0.0,0.0
11,2016-01-12,274021,44,0.0,0.01
12,2016-01-13,304574,30,0.0,0.0
13,2016-01-14,308592,38,0.0,0.01
14,2016-01-15,318552,51,0.01,0.0
15,2016-01-16,308690,52,0.24,0.0
16,2016-01-17,296477,42,0.05,0.4
17,2016-01-18,256219,31,0.01,0.01
18,2016-01-19,317835,28,0.0,0.0
19,2016-01-20,300062,37,0.0,0.0
20,2016-01-21,319814,36,0.0,0.0
21,2016-01-22,353525,30,0.01,0.2
22,2016-01-23,84680,27,2.31,27.3
23,2016-01-24,153319,35,0.01,0.01
24,2016-01-25,272528,39,0.0,0.0
25,2016-01-26,294591,48,0.0,0.0
26,2016-01-27,299536,47,0.01,0.0
27,2016-01-28,314311,42,0.0,0.0
28,2016-01-29,354874,41,0.0,0.0
29,2016-01-30,356005,39,0.0,0.0
30,2016-01-31,293122,56,0.0,0.0
31,2016-02-01,268872,59,0.01,0.0
32,2016-02-02,275915,50,0.0,0.0
33,2016-02-03,321971,59,0.73,0.0
34,2016-02-04,312912,59,0.01,0.0
35,2016-02-05,350825,44,0.53,2.5
36,2016-02-06,340393,40,0.0,0.0
37,2016-02-07,304803,47,0.0,0.0
38,2016-02-08,286167,39,0.05,0.1
39,2016-02-09,291792,36,0.0,0.01
40,2016-02-10,315306,39,0.01,0.01
41,2016-02-11,369519,31,0.01,0.01
42,2016-02-12,391964,27,0.0,0.0
43,2016-02-13,417186,22,0.0,0.0
44,2016-02-14,388224,15,0.0,0.0
45,2016-02-15,286859,35,0.44,1.4
46,2016-02-16,312839,54,1.01,0.0
47,2016-02-17,305529,39,0.0,0.0
48,2016-02-18,332941,36,0.0,0.0
49,2016-02-19,358918,39,0.0,0.0
50,2016-02-20,345382,61,0.0,0.0
51,2016-02-21,302549,55,0.03,0.0
52,2016-02-22,281686,52,0.0,0.0
53,2016-02-23,338565,40,0.3,0.01
54,2016-02-24,358849,60,1.22,0.0
55,2016-02-25,336480,61,0.02,0.0
56,2016-02-26,366793,39,0.0,0.0
57,2016-02-27,354946,41,0.0,0.0
58,2016-02-28,299653,60,0.0,0.0
59,2016-02-29,280132,61,0.05,0.0
60,2016-03-01,287685,52,0.0,0.0
61,2016-03-02,318476,55,0.14,0.0
62,2016-03-03,336838,36,0.0,0.0
63,2016-03-04,367030,39,0.11,0.4
64,2016-03-05,351386,41,0.0,0.0
65,2016-03-06,300941,44,0.0,0.0
66,2016-03-07,278546,60,0.0,0.0
67,2016-03-08,287535,67,0.0,0.0
68,2016-03-09,296904,77,0.0,0.0
69,2016-03-10,316274,79,0.0,0.0
70,2016-03-11,343973,68,0.06,0.0
71,2016-03-12,341409,59,0.0,0.0
72,2016-03-13,286790,62,0.01,0.0
73,2016-03-14,324452,51,0.29,0.0
74,2016-03-15,295580,57,0.0,0.0
75,2016-03-16,312474,65,0.02,0.0
76,2016-03-17,326747,63,0.01,0.0
77,2016-03-18,349425,57,0.0,0.0
